Stage,Location,RelativeName,RelativeCategory,RevelationOrMilestone,PrimaryEnemies,Boss,BossWeakness,MissionHook,PowerUnlocked,MapFeatures,StealthTip,ShamanWisdom
88,Phantom Quarries,Cousin Bram,men,,"Blight Boars, Rift Scout",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Bram from Phantom Quarries. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
89,Stormveil Arches,Nephew Tajo,children,,"Blight Boars, Siege Grenadier",Storm Titan Oxx,Grounded by conductive chains,Rescue Nephew Tajo from Stormveil Arches. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
90,Flarecoast,Uncle Fen,men,,"Swarm Spiders, Hex Warlock, Golem Wrangler",Beastmother Siva,Distract cubs; strike when she turns,Rescue Uncle Fen from Flarecoast. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
91,Oracle Steps,Cousin Tor,men,,"Grim Bears, Rift Scout",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Tor from Oracle Steps. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
92,Boulderrest,Brother Iven,men,,"Swarm Spiders, Shadow Archer",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Brother Iven from Boulderrest. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
93,Saltspire,Cousin Miri,children,,"Swarm Spiders, Siege Grenadier, Phantom Blade",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Cousin Miri from Saltspire. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
94,Wolfpine,Cousin Poro,children,,"Tide Serpents, Siege Grenadier",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Poro from Wolfpine. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
95,Glacier Rim,Niece Yani,children,,"Blight Boars, Hex Warlock",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Niece Yani from Glacier Rim. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
96,Echodrift,Uncle Rold,men,,"Grim Bears, Iron Mauler, Golem Wrangler",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Uncle Rold from Echodrift. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
97,Brimstone Pits,Aunt Kira,women,,"Feral Wolfpack, Hex Warlock",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Aunt Kira from Brimstone Pits. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
98,Larkspur Heights,Cousin Niko,men,,"Ash Scorpions, Rift Scout",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Niko from Larkspur Heights. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
99,Brazen Yard,Uncle Garr,men,,"Razor Eagles, Rift Scout, Crimson Pyromancer",Storm Titan Oxx,Grounded by conductive chains,Rescue Uncle Garr from Brazen Yard. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
100,Mistwatch,Uncle Joran,men,Arc milestone at Stage 100: hidden sigil fragment recovered.,"Frost Lynxes, Iron Mauler",Beastmother Siva,Distract cubs; strike when she turns,Rescue Uncle Joran from Mistwatch. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
101,Ashenport Docks,Aunt Leena,women,,"Grim Bears, Rift Scout",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Aunt Leena from Ashenport Docks. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
102,Obsidian Bazaar,Sister Mira,women,,"Frost Lynxes, Shadow Archer, Dread Corsair",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Sister Mira from Obsidian Bazaar. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
103,Sapphire Cliffs,Nephew Zed,children,,"Grim Bears, Shadow Archer",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Nephew Zed from Sapphire Cliffs. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
104,Ember Hollow,Cousin Aria,women,,"Grim Bears, Bollock Raider",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Aria from Ember Hollow. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
105,Verdant Sprawl,Brother Kael,men,,"Frost Lynxes, Rift Scout, Phantom Blade",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Brother Kael from Verdant Sprawl. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
106,Gale Citadel,Niece Pina,children,,"Grim Bears, Siege Grenadier",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Niece Pina from Gale Citadel. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
107,Moonveil Ruins,Cousin Nyla,women,,"Swarm Spiders, Bollock Raider",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Cousin Nyla from Moonveil Ruins. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
108,Crimson Steppe,Nephew Iko,children,,"Razor Eagles, Iron Mauler, Stormcaller",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Nephew Iko from Crimson Steppe. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
109,Ironroot Mines,Cousin Lumo,children,,"Swarm Spiders, Shock Lancer",Storm Titan Oxx,Grounded by conductive chains,Rescue Cousin Lumo from Ironroot Mines. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
110,Stormglass Keep,Cousin Rini,children,,"Swarm Spiders, Bollock Raider",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Rini from Stormglass Keep. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
111,Dune Sea Outpost,Niece Sumi,children,,"Razor Eagles, Sand Rider, Bone Shaman",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Niece Sumi from Dune Sea Outpost. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
112,Rivergate,Cousin Daro,men,,"Blight Boars, Rift Scout",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Cousin Daro from Rivergate. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
113,Frostfang Tundra,Nephew Tajo,children,,"Ash Scorpions, Iron Mauler",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Nephew Tajo from Frostfang Tundra. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
114,Sunspire Plateau,Cousin Bram,men,,"Grim Bears, Shock Lancer, Blight Captain",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Bram from Sunspire Plateau. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
115,Whispering Marsh,Cousin Miri,children,,"Grim Bears, Iron Mauler",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Miri from Whispering Marsh. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
116,Nightorch Yard,Aunt Rhea,women,,"Swarm Spiders, Bollock Raider",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Aunt Rhea from Nightorch Yard. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
117,Cobalt Narrows,Uncle Fen,men,,"Blight Boars, Shadow Archer, Golem Wrangler",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Uncle Fen from Cobalt Narrows. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
118,Thornmere,Cousin Poro,children,,"Tide Serpents, Shock Lancer",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Poro from Thornmere. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
119,Aurora Crater,Cousin Sera,women,,"Grim Bears, Shock Lancer",Storm Titan Oxx,Grounded by conductive chains,Rescue Cousin Sera from Aurora Crater. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
120,Seabreak Fort,Niece Yani,children,,"Blight Boars, Rift Scout, Bone Shaman",Beastmother Siva,Distract cubs; strike when she turns,Rescue Niece Yani from Seabreak Fort. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
121,Shattered Causeway,Cousin Tor,men,,"Ash Scorpions, Bollock Raider",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Tor from Shattered Causeway. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
122,Hushwind Grove,Nephew Zed,children,,"Feral Wolfpack, Iron Mauler",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Nephew Zed from Hushwind Grove. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
123,Cobalt Reef,Niece Pina,children,,"Feral Wolfpack, Hex Warlock, Blight Captain",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Niece Pina from Cobalt Reef. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
124,Ivory Bastion,Nephew Iko,children,,"Frost Lynxes, Sand Rider",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Nephew Iko from Ivory Bastion. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
125,Hearthfall Town,Brother Iven,men,,"Razor Eagles, Shadow Archer",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Brother Iven from Hearthfall Town. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
126,Starfall Observatory,Uncle Rold,men,,"Grim Bears, Siege Grenadier, Bone Shaman",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Uncle Rold from Starfall Observatory. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
127,Ravenwall,Sister Lyra,women,,"Razor Eagles, Shock Lancer",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Sister Lyra from Ravenwall. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
128,Hollow Reef,Cousin Lumo,children,,"Grim Bears, Shadow Archer",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Lumo from Hollow Reef. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
129,Quartz Bazaar,Cousin Rini,children,,"Swarm Spiders, Siege Grenadier, Dread Corsair",Storm Titan Oxx,Grounded by conductive chains,Rescue Cousin Rini from Quartz Bazaar. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
130,Gloombridge,Cousin Niko,men,,"Swarm Spiders, Hex Warlock",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Niko from Gloombridge. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
131,Skyforge Pinnacle,Niece Sumi,children,,"Swarm Spiders, Hex Warlock",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Niece Sumi from Skyforge Pinnacle. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
132,Mirage Dunes,Nephew Tajo,children,,"Feral Wolfpack, Rift Scout, Golem Wrangler",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Nephew Tajo from Mirage Dunes. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
133,Mirewatch,Uncle Garr,men,,"Razor Eagles, Shock Lancer",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Uncle Garr from Mirewatch. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
134,Copperhold,Cousin Miri,children,,"Swarm Spiders, Iron Mauler",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Miri from Copperhold. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
135,Driftwood Quay,Cousin Poro,children,,"Ash Scorpions, Sand Rider, Golem Wrangler",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Poro from Driftwood Quay. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
136,Flintgate,Niece Yani,children,,"Swarm Spiders, Hex Warlock",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Niece Yani from Flintgate. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
137,Glowfen,Nephew Zed,children,,"Tide Serpents, Sand Rider",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Nephew Zed from Glowfen. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
138,Phantom Quarries,Aunt Talia,women,,"Swarm Spiders, Shock Lancer, Dread Corsair",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Aunt Talia from Phantom Quarries. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
139,Stormveil Arches,Niece Pina,children,,"Grim Bears, Iron Mauler",Storm Titan Oxx,Grounded by conductive chains,Rescue Niece Pina from Stormveil Arches. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
140,Flarecoast,Nephew Iko,children,,"Ash Scorpions, Hex Warlock",Beastmother Siva,Distract cubs; strike when she turns,Rescue Nephew Iko from Flarecoast. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
141,Oracle Steps,Cousin Vela,women,,"Feral Wolfpack, Sand Rider, Golem Wrangler",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Vela from Oracle Steps. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
142,Boulderrest,Cousin Lumo,children,,"Feral Wolfpack, Bollock Raider",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Cousin Lumo from Boulderrest. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
143,Saltspire,Cousin Rini,children,,"Swarm Spiders, Hex Warlock",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Cousin Rini from Saltspire. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
144,Wolfpine,Uncle Joran,men,,"Tide Serpents, Iron Mauler, Dread Corsair",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Uncle Joran from Wolfpine. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
145,Glacier Rim,Aunt Kira,women,,"Tide Serpents, Hex Warlock",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Aunt Kira from Glacier Rim. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
146,Echodrift,Niece Sumi,children,,"Razor Eagles, Shock Lancer",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Niece Sumi from Echodrift. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
147,Brimstone Pits,Nephew Tajo,children,,"Feral Wolfpack, Hex Warlock, Crimson Pyromancer",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Nephew Tajo from Brimstone Pits. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
148,Larkspur Heights,Cousin Miri,children,,"Feral Wolfpack, Iron Mauler",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Miri from Larkspur Heights. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
149,Brazen Yard,Cousin Poro,children,,"Razor Eagles, Shock Lancer",Storm Titan Oxx,Grounded by conductive chains,Rescue Cousin Poro from Brazen Yard. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
150,Mistwatch,Niece Yani,children,Arc milestone at Stage 150: hidden sigil fragment recovered.,"Ash Scorpions, Iron Mauler, Phantom Blade",Beastmother Siva,Distract cubs; strike when she turns,Rescue Niece Yani from Mistwatch. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
