Stage,Location,RelativeName,RelativeCategory,RevelationOrMilestone,PrimaryEnemies,Boss,BossWeakness,MissionHook,PowerUnlocked,MapFeatures,StealthTip,ShamanWisdom
88,Phantom Quarries,Cousin Sera,women,,"Grim Bears, Siege Grenadier",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Sera from Phantom Quarries. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
89,Stormveil Arches,Cousin Bram,men,,"Tide Serpents, Siege Grenadier",Storm Titan Oxx,Grounded by conductive chains,Rescue Cousin Bram from Stormveil Arches. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
90,Flarecoast,Uncle Fen,men,,"Razor Eagles, Sand Rider, Obsidian Knight",Beastmother Siva,Distract cubs; strike when she turns,Rescue Uncle Fen from Flarecoast. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
91,Oracle Steps,Nephew Zed,children,,"Razor Eagles, Iron Mauler",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Nephew Zed from Oracle Steps. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
92,Boulderrest,Cousin Tor,men,,"Grim Bears, Shadow Archer",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Cousin Tor from Boulderrest. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
93,Saltspire,Sister Lyra,women,,"Ash Scorpions, Siege Grenadier, Stormcaller",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Sister Lyra from Saltspire. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
94,Wolfpine,Brother Iven,men,,"Grim Bears, Bollock Raider",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Brother Iven from Wolfpine. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
95,Glacier Rim,Aunt Talia,women,,"Swarm Spiders, Shadow Archer",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Aunt Talia from Glacier Rim. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
96,Echodrift,Uncle Rold,men,,"Tide Serpents, Rift Scout, Blight Captain",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Uncle Rold from Echodrift. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
97,Brimstone Pits,Cousin Niko,men,,"Ash Scorpions, Shadow Archer",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Cousin Niko from Brimstone Pits. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
98,Larkspur Heights,Cousin Vela,women,,"Tide Serpents, Bollock Raider",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Cousin Vela from Larkspur Heights. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
99,Brazen Yard,Niece Pina,children,,"Tide Serpents, Sand Rider, Blight Captain",Storm Titan Oxx,Grounded by conductive chains,Rescue Niece Pina from Brazen Yard. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
100,Mistwatch,Aunt Kira,women,Arc milestone at Stage 100: hidden sigil fragment recovered.,"Ash Scorpions, Shock Lancer",Beastmother Siva,Distract cubs; strike when she turns,Rescue Aunt Kira from Mistwatch. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
101,Ashenport Docks,Uncle Garr,men,,"Ash Scorpions, Iron Mauler",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Uncle Garr from Ashenport Docks. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
102,Obsidian Bazaar,Aunt Leena,women,,"Grim Bears, Iron Mauler, Obsidian Knight",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Aunt Leena from Obsidian Bazaar. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
103,Sapphire Cliffs,Sister Mira,women,,"Blight Boars, Hex Warlock",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Sister Mira from Sapphire Cliffs. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
104,Ember Hollow,Cousin Aria,women,,"Razor Eagles, Hex Warlock",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Aria from Ember Hollow. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
105,Verdant Sprawl,Uncle Joran,men,,"Feral Wolfpack, Shock Lancer, Phantom Blade",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Uncle Joran from Verdant Sprawl. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
106,Gale Citadel,Cousin Nyla,women,,"Frost Lynxes, Iron Mauler",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Cousin Nyla from Gale Citadel. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
107,Moonveil Ruins,Nephew Iko,children,,"Grim Bears, Shock Lancer",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Nephew Iko from Moonveil Ruins. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
108,Crimson Steppe,Aunt Rhea,women,,"Grim Bears, Shadow Archer, Golem Wrangler",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Aunt Rhea from Crimson Steppe. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
109,Ironroot Mines,Brother Kael,men,,"Feral Wolfpack, Sand Rider",Storm Titan Oxx,Grounded by conductive chains,Rescue Brother Kael from Ironroot Mines. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
110,Stormglass Keep,Cousin Sera,women,,"Feral Wolfpack, Shadow Archer",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Sera from Stormglass Keep. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
111,Dune Sea Outpost,Cousin Lumo,children,,"Frost Lynxes, Sand Rider, Stormcaller",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Lumo from Dune Sea Outpost. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
112,Rivergate,Sister Lyra,women,,"Frost Lynxes, Iron Mauler",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Sister Lyra from Rivergate. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
113,Frostfang Tundra,Aunt Talia,women,,"Blight Boars, Hex Warlock",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Aunt Talia from Frostfang Tundra. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
114,Sunspire Plateau,Cousin Vela,women,,"Ash Scorpions, Sand Rider, Blight Captain",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Vela from Sunspire Plateau. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
115,Whispering Marsh,Aunt Kira,women,,"Grim Bears, Hex Warlock",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Aunt Kira from Whispering Marsh. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
116,Nightorch Yard,Aunt Leena,women,,"Razor Eagles, Shadow Archer",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Aunt Leena from Nightorch Yard. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
117,Cobalt Narrows,Cousin Rini,children,,"Grim Bears, Sand Rider, Bone Shaman",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Cousin Rini from Cobalt Narrows. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
118,Thornmere,Niece Sumi,children,,"Ash Scorpions, Sand Rider",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Niece Sumi from Thornmere. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
119,Aurora Crater,Sister Mira,women,,"Feral Wolfpack, Hex Warlock",Storm Titan Oxx,Grounded by conductive chains,Rescue Sister Mira from Aurora Crater. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
120,Seabreak Fort,Cousin Aria,women,,"Ash Scorpions, Shadow Archer, Phantom Blade",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Aria from Seabreak Fort. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
121,Shattered Causeway,Nephew Tajo,children,,"Frost Lynxes, Rift Scout",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Nephew Tajo from Shattered Causeway. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
122,Hushwind Grove,Cousin Nyla,women,,"Swarm Spiders, Rift Scout",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Cousin Nyla from Hushwind Grove. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
123,Cobalt Reef,Aunt Rhea,women,,"Tide Serpents, Rift Scout, Bone Shaman",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Aunt Rhea from Cobalt Reef. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
124,Ivory Bastion,Cousin Daro,men,,"Blight Boars, Hex Warlock",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Daro from Ivory Bastion. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
125,Hearthfall Town,Cousin Sera,women,,"Frost Lynxes, Shock Lancer",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Sera from Hearthfall Town. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
126,Starfall Observatory,Cousin Bram,men,,"Tide Serpents, Hex Warlock, Dread Corsair",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Cousin Bram from Starfall Observatory. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
127,Ravenwall,Uncle Fen,men,,"Tide Serpents, Siege Grenadier",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Uncle Fen from Ravenwall. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
128,Hollow Reef,Sister Lyra,women,,"Feral Wolfpack, Bollock Raider",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Sister Lyra from Hollow Reef. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
129,Quartz Bazaar,Cousin Tor,men,,"Tide Serpents, Rift Scout, Stormcaller",Storm Titan Oxx,Grounded by conductive chains,Rescue Cousin Tor from Quartz Bazaar. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
130,Gloombridge,Brother Iven,men,,"Swarm Spiders, Sand Rider",Beastmother Siva,Distract cubs; strike when she turns,Rescue Brother Iven from Gloombridge. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
131,Skyforge Pinnacle,Aunt Talia,women,,"Tide Serpents, Sand Rider",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Aunt Talia from Skyforge Pinnacle. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
132,Mirage Dunes,Uncle Rold,men,,"Swarm Spiders, Sand Rider, Dread Corsair",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Uncle Rold from Mirage Dunes. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
133,Mirewatch,Cousin Vela,women,,"Razor Eagles, Bollock Raider",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Cousin Vela from Mirewatch. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
134,Copperhold,Cousin Miri,children,,"Blight Boars, Sand Rider",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Miri from Copperhold. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
135,Driftwood Quay,Cousin Poro,children,,"Tide Serpents, Siege Grenadier, Crimson Pyromancer",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Cousin Poro from Driftwood Quay. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
136,Flintgate,Aunt Kira,women,,"Feral Wolfpack, Shadow Archer",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Aunt Kira from Flintgate. They hold intel for next location.,Blink Step (short-range teleport),Vent tunnels,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
137,Glowfen,Aunt Leena,women,,"Blight Boars, Rift Scout",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Aunt Leena from Glowfen. They hold intel for next location.,Whirlwind Nova (360° knockback),Hidden cistern,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
138,Phantom Quarries,Sister Mira,women,,"Razor Eagles, Rift Scout, Blight Captain",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Sister Mira from Phantom Quarries. They hold intel for next location.,Shadow Veil (10s invisibility),Rooftop ziplines,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
139,Stormveil Arches,Cousin Aria,women,,"Swarm Spiders, Sand Rider",Storm Titan Oxx,Grounded by conductive chains,Rescue Cousin Aria from Stormveil Arches. They hold intel for next location.,Aerial Glide (long jump/fall control),Sewer ladder,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
140,Flarecoast,Cousin Nyla,women,,"Swarm Spiders, Siege Grenadier",Beastmother Siva,Distract cubs; strike when she turns,Rescue Cousin Nyla from Flarecoast. They hold intel for next location.,Hawkeye Burst (multi-target auto-bow volley),Collapsed tramway,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
141,Oracle Steps,Cousin Niko,men,,"Swarm Spiders, Rift Scout, Golem Wrangler",General Krath,Vulnerable during thunder; stun on lightning pylons,Rescue Cousin Niko from Oracle Steps. They hold intel for next location.,Stoneguard (temporary invulnerability),Crate labyrinth,Cut lanterns to deepen shadows.,Power without purpose is a candle in storm—shield your flame.
142,Boulderrest,Aunt Rhea,women,,"Tide Serpents, Hex Warlock",Matron Vess,Mirror shields reflect her beam; strike from behind,Rescue Aunt Rhea from Boulderrest. They hold intel for next location.,Spectral Decoy (lures enemies),Sub-basement vault,Whistle near bells to misdirect patrols.,"When wolves circle, become the wind, not the tree."
143,Saltspire,Niece Yani,children,,"Swarm Spiders, Shadow Archer",Dreadsmith Orun,Armor overheats near forges; use water barrels,Rescue Niece Yani from Saltspire. They hold intel for next location.,Thunderbrand (charged sword cleave),Crack-in-wall passage,Drop jars to lure wardens away.,Every fortress has a forgotten vein; feel for its pulse.
144,Wolfpine,Cousin Sera,women,,"Ash Scorpions, Rift Scout, Stormcaller",High Warlock Zev,Interrupt chant with sonic arrows,Rescue Cousin Sera from Wolfpine. They hold intel for next location.,"Ember Dash (flame dash, ignites oil)",Cistern sluice,Swim the culvert; bypass main gate.,Listen for lies in the quiet between war drums.
145,Glacier Rim,Sister Lyra,women,,"Ash Scorpions, Shadow Archer",Giant Golem Rauk,Cracks when frozen then shattered,Rescue Sister Lyra from Glacier Rim. They hold intel for next location.,Frostlock (freeze cone),Ceiling rafters,Mask steps with thunderclaps.,Mercy is a blade—wield it or sheath it with intent.
146,Echodrift,Aunt Talia,women,,"Ash Scorpions, Iron Mauler",Corsair Queen Nyra,Harpoons jam the ship engine; board aft,Rescue Aunt Talia from Echodrift. They hold intel for next location.,Chain Grapple (pull to ledges/enemies),Chimney shaft,Shadow Archers can be pickpocketed for keys.,The sky carries you if you leap with wisdom.
147,Brimstone Pits,Cousin Vela,women,,"Frost Lynxes, Shock Lancer, Bone Shaman",Bonebreaker Hul,Only staggers after parry-perfect 3 times,Rescue Cousin Vela from Brimstone Pits. They hold intel for next location.,Time Slip (slow time briefly),Waterwheel duct,Ride supply carts through gatehouse.,Your blood remembers thrones; let your heart remember people.
148,Larkspur Heights,Uncle Garr,men,,"Razor Eagles, Shadow Archer",Warden Keth,Keys hidden on hawks; shoot them down,Rescue Uncle Garr from Larkspur Heights. They hold intel for next location.,Viper Strike (stacking bleed),Cave fissure,Sabotage alarm drums before entry.,A map shows walls; breath finds doors.
149,Brazen Yard,Aunt Kira,women,,"Grim Bears, Siege Grenadier",Storm Titan Oxx,Grounded by conductive chains,Rescue Aunt Kira from Brazen Yard. They hold intel for next location.,Sanctum Ward (revive once per stage if unused),Ivy climb,Poison stew pots to thin numbers.,"Count the steps of your fear, then step once more."
150,Mistwatch,Aunt Leena,women,Arc milestone at Stage 150: hidden sigil fragment recovered.,"Tide Serpents, Shock Lancer, Phantom Blade",Beastmother Siva,Distract cubs; strike when she turns,Rescue Aunt Leena from Mistwatch. They hold intel for next location.,Sky Ascent (rapid vertical lift),Barred postern gate,"Scale ivy to the watchtower, avoid spotlight.",Even giants drown in inches of truth.
